"FullName","Length","Type"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\.secure",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\00_Hub_Index.md","24435","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\01_Career_Master.md","41647","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\02_Skills_Inventory.md","30203","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\03_Daily_Operations_Playbook.md","21909","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\04_Analyst_Workload_Reference.md","18004","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\05_Out_of_Scope_Leadership.md","20761","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\06_Project_Investigation_Template.md","7940","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\07_TX_Waller_Research_Case.md","11470","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\08_NC_Data_Anomaly_Project.md","134935","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\09_QA_Standards.md","14733","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\10_Glossary.md","12767","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\11_Transmittal_Standards.md","12485","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\12_Leadership_Development.md","13676","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\13_SOP_Library.md","11910","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\14_Hub_Usage_Implementation_Guide.md","17290","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\15_State_Research_Scaling_Guide.md","18156","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\16_Engine_Executive_Overview.md","22885","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\17_Engine_Onboarding_Wizard.md","18467","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\18_Organizational_Network_Map.md","26595","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\19_Personal_Model_Vision.md","20561","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\20_Session_Management_Continuation_Guide.md","30144","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\21_Professional_Background_Story.md","10708","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\22_Home_Computer_Setup_Guide.md","15432","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\23_Data_Security_Compliance_Guidelines.md","14181","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\24_Strategic_Advisor_Protocol.md","50434","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\25_State_Research_Template.md","6894","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\26_Investigation_Decision_Tree.md","13102","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\27_Training_Curriculum_Peer_to_Peer.md","12916","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\28_Chase_Key_Workload_Analysis.md","13563","File"
